Name,Team,Price,L01,L02,L03,L04,L05,LastScore,SeasonAvg,Last3Avg,Last5Avg
Ben Brown,MEL,307500,0,0,0,0,0,0,0,0,0
Ben Hobbs,ESS,413900,0,0,0,0,0,0,0,0,0
Ben Keays,ADE,450500,0,0,0,0,0,0,0,0,0
Ben King,GCS,316300,107,0,0,0,0,107,107,107,107
Ben Long,GCS,280200,0,0,0,0,0,0,0,0,0
Ben McKay,ESS,353300,0,0,0,0,0,0,0,0,0
Ben Miller,RI,328900,0,0,0,0,0,0,0,0,0
Ben Paton,STK,275200,0,0,0,0,0,0,0,0,0
Bigoa Nyuon,NTH,123900,0,0,0,0,0,0,0,0,0
Billy Dowling,ADE,123900,0,0,0,0,0,0,0,0,0
Billy Frampton,COLL,329700,0,0,0,0,0,0,0,0,0
Billy Wilson,CAR,117300,0,0,0,0,0,0,0,0,0
Blake Acres,CAR,489000,101,0,0,0,0,101,101,101,101
Blake Drury,NTH,123900,0,0,0,0,0,0,0,0,0
Blake Hardwick,HAW,481600,0,0,0,0,0,0,0,0,0
Blake Howes,MEL,123900,91,0,0,0,0,91,91,91,91
Bobby Hill,COLL,319400,51,0,0,0,0,51,51,51,51
Bodhi Uwland,GCS,137100,41,0,0,0,0,41,41,41,41
Bodie Ryan,HAW,117300,0,0,0,0,0,0,0,0,0
Brad Close,GEE,372600,0,0,0,0,0,0,0,0,0
Brad Crouch,STK,545000,0,0,0,0,0,0,0,0,0
Bradley Hill,STK,380300,0,0,0,0,0,0,0,0,0
Brady Hough,WCE,350600,0,0,0,0,0,0,0,0,0
Braeden Campbell,SYD,386600,53,0,0,0,0,53,53,53,53
Brandan Parfitt,GEE,296200,0,0,0,0,0,0,0,0,0
Brandon Ellis,GCS,440100,48,0,0,0,0,48,48,48,48
Brandon Ryan,BRL,152000,0,0,0,0,0,0,0,0,0
Brandon Starcevich,BRL,304500,41,0,0,0,0,41,41,41,41
Brandon Walker,FRE,257100,0,0,0,0,0,0,0,0,0
Brandon Zerk-Thatcher,PTA,375200,0,0,0,0,0,0,0,0,0
Brayden Cook,ADE,234700,0,0,0,0,0,0,0,0,0
Brayden Fiorini,GCS,361300,101,0,0,0,0,101,101,101,101
Brayden George,NTH,123900,0,0,0,0,0,0,0,0,0
Brayden Maynard,COLL,449400,93,0,0,0,0,93,93,93,93
Braydon Preuss,GWS,308200,0,0,0,0,0,0,0,0,0
Brennan Cox,FRE,491000,0,0,0,0,0,0,0,0,0
Brent Daniels,GWS,419500,77,0,0,0,0,77,77,77,77
Brodie Grundy,SYD,481900,139,0,0,0,0,139,139,139,139
Brodie Kemp,CAR,408400,70,0,0,0,0,70,70,70,70
Brodie Smith,ADE,460100,0,0,0,0,0,0,0,0,0
Brody Mihocek,COLL,365400,69,0,0,0,0,69,69,69,69
Bruce Reville,BRL,102400,0,0,0,0,0,0,0,0,0
Buku Khamis,WBD,123900,0,0,0,0,0,0,0,0,0
Caiden Cleary,SYD,117300,0,0,0,0,0,0,0,0,0
Caleb Daniel,WBD,518800,0,0,0,0,0,0,0,0,0
Caleb Graham,GCS,163200,0,0,0,0,0,0,0,0,0
Caleb Marchbank,CAR,259500,0,0,0,0,0,0,0,0,0
Caleb Mitchell,SYD,123900,0,0,0,0,0,0,0,0,0
Caleb Poulter,WBD,320400,0,0,0,0,0,0,0,0,0
Caleb Serong,FRE,621600,0,0,0,0,0,0,0,0,0
